TABELA DE SIMBOLOS - "gram01.grm-NFA.lda"

+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  32 | tk_CADEIA                      | "state_10005"           | ( 46,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  33 | tk_CADEIA                      | "a_state_10005_title"   | ( 47,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  34 | tk_CADEIA                      | "a_state_10005_item_1"  | ( 50,  8) ( 51,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  35 | tk_CADEIA                      | "trans_6"               | ( 53,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  36 | tk_IDEN                        | itens_10007             | ( 55,  8) ( 58,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  37 | tk_CADEIA                      | "a_state_10007_item_.*" | ( 55, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  38 | tk_CADEIA                      | "state_10007"           | ( 56,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  39 | tk_CADEIA                      | "a_state_10007_title"   | ( 57,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  40 | tk_CADEIA                      | "trans_7"               | ( 60,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  41 | tk_CADEIA                      | "trans_8"               | ( 62,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  42 | tk_CADEIA                      | "a_state_10007_item_1"  | ( 64,  8) ( 65,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  43 | tk_CADEIA                      | "trans_9"               | ( 67,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
